date,BE0000358672,BE6320936287,CH1305916897,DE0001102341,DE0001102408,DE0001102416,DE0001102432,DE0001102440,DE0001102457,DE0001102465,DE0001102473,DE0001102481,DE0001102499,DE0001102531,DE0001102549,DE0001102572,DE0001102580,DE0001102598,DE0001102606,DE0001102614,DE0001135044,DE0001135069,DE0001135143,DE0001135176,DE0001135226,DE0001135275,DE0001135325,DE0001135366,DE0001135432,DE0001135481,DE000BU22049,DE000BU2D004,DE000BU2D012,DE000BU2F009,DE000BU2Z007,DE000BU2Z015,DE000BU2Z023,DE000BU2Z049,DE000BU2Z056,DE000DL19VU0,ES0000012M93,FR0013428513,FR0013516549,FR001400D8K2,FR001400WP90,FR001400ZZB1,FR0014010IQ2,IT0005561888,IT0005598989,NL0010721999,NL0015000B11,NL00150012X2,XS1708335978,XS1843436145,XS2050406177,XS2058557260,XS2078735433,XS2116701348,XS2180009081,XS2197675288,XS2466401572,XS2554745708,XS2555221246,XS2576067081,XS2620585906,XS2621539910,XS2652072864,XS2739132897,XS2751666699,XS2764455619,XS2792184421,XS2815987834,XS2830466301,XS2831195644,XS2905579095,XS2908897742,XS2909746401,XS2909822517,XS2944926406,XS2976337753,XS3022397460,XS3024074950,XS3046429711,XS3057365465,XS3060780973,XS3069338336,XS3084359036,XS3086851105,XS3090913883,XS3106109922,XS3141207103,XS3144971127,XS3170277704,XS3174782675,XS3185662163,XS3201918409,XS3225966939
31/12/2036,0.033,0.037,0,0.025,0,0,0.0125,0,0,0,0,0,0,0,1,0,0,0.01,0,0.018,0,0,0,0,0,0.04,0.0425,0.0475,0.0325,0.025,0,0.025,0.029,0.026,0,0,0,0,0,0,0.04,0.01375,0,0,0,0,0.03795,0,0,0.0275,0,0.02,0.02875,0.0295,0.0135,0.015,0.00875,0,0.026,0.01864,0,0,0,0,0,0,0,0,0,0.5505375,0,0,0,0,0,0,1.031993064,0,0,0,0,0,0,1.050466333,0,0,0,0,0.03837,0.0406,0.03875,0,0,0,0,0,0.03875
31/12/2037,0.033,0.037,0,0.025,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0.01,0,0.018,0,0,0,0,0,1.04,0.0425,0.0475,0.0325,0.025,0,0.025,0.029,0.026,0,0,0,0,0,0,0.04,0.01375,0,0,0,0,1.033435093,0,0,0.0275,0,0.02,0.02875,0.0295,0.0135,0.015,0.00875,0,0.195191836,0.01864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.033660052,0.0406,1.033612494,0,0,0,0,0,0.03875
31/12/2038,0.033,0.037,0,0.025,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,1.01,0,0.018,0,0,0,0,0,0,0.0425,0.0475,0.0325,0.025,0,0.025,0.029,0.026,0,0,0,0,0,0,0.04,0.01375,0,0,0,0,0,0,0,0.0275,1,0.02,1.02875,0.0295,0.0135,0.015,0.00875,0,0.854658,0.01864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406,0,0,0,0,0,0,0.03875
31/12/2039,0.033,0.359073462,0,0.025,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0,1.0425,0.0475,0.0325,0.025,0,0.025,0.029,0.026,0,0,0,0,0,0,0.04,1.01345541,0,0,0,0,0,0,0,0.0275,0,0.02,0,1.027406791,1.013058606,1.014589456,1.00875,0,0,0.01864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0406,0,0,0,0,0,0,0.03875
31/12/2040,0.033,0.709308,0,0.025,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0,1.0475,0.0325,0.025,0,0.025,0.029,0.026,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.0275,0,0.02,0,0,0,0,0,0,0,1.018069291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03705682,0,0,0,0,0,0,1.033626526
31/12/2041,0.033,0,0,0.025,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0.0325,0.025,0,0.025,0.029,1.026,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.0275,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/2042,0.033,0,0,0.025,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0,1.0325,0.025,0,0.025,0.029,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.0275,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/2043,0.033,0,0,0.025,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0,0.025,0,0.025,0.029,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.0275,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/2044,0.033,0,0,0.025,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0,1.025,0,0.025,0.029,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.0275,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31/12/2045,0.033,0,0,0.025,0,0,0.0125,0,0,0,0,0,0,0,0,0,0,0,0,0.018,0,0,0,0,0,0,0,0,0,0,0,0.025,0.029,0,0,0,0,0,0,0,0.04,0,0,0,0,0,0,0,0,0.0275,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
